date,feature_index,NO2
2026-05-18T00:00:00.000Z,0,4.409005123306997E-5
2026-05-12T00:00:00.000Z,0,3.501555238472065E-5
2026-05-14T00:00:00.000Z,0,4.180537780484883E-5
2026-05-13T00:00:00.000Z,0,2.8476628813223215E-5
2025-10-11T00:00:00.000Z,0,
2025-10-12T00:00:00.000Z,0,1.687605751449217E-5
2025-10-14T00:00:00.000Z,0,2.420280566184374E-5
2025-10-09T00:00:00.000Z,0,2.7929981115448754E-5
2025-10-13T00:00:00.000Z,0,2.54297419814975E-5
2025-10-10T00:00:00.000Z,0,2.0610903447959572E-5
2025-10-07T00:00:00.000Z,0,4.1474269892205484E-5
2025-10-08T00:00:00.000Z,0,4.703235845227027E-5
2025-12-15T00:00:00.000Z,0,4.557944703265093E-5
2025-12-10T00:00:00.000Z,0,5.213915210333653E-5
2025-12-16T00:00:00.000Z,0,
2025-12-17T00:00:00.000Z,0,4.7954634889417015E-5
2025-12-12T00:00:00.000Z,0,3.723640566022368E-5
2025-12-13T00:00:00.000Z,0,3.977557389589492E-5
2025-12-11T00:00:00.000Z,0,
2025-12-14T00:00:00.000Z,0,
2025-09-20T00:00:00.000Z,0,2.191372368542943E-5
2025-09-16T00:00:00.000Z,0,3.543417187756859E-5
2025-09-18T00:00:00.000Z,0,1.7870957890409045E-5
2025-09-15T00:00:00.000Z,0,2.8095229936297983E-5
2025-09-14T00:00:00.000Z,0,3.384883848411846E-5
2025-09-19T00:00:00.000Z,0,1.4120904417325164E-5
2025-09-13T00:00:00.000Z,0,3.337251496304816E-5
2025-09-17T00:00:00.000Z,0,2.9660081054316834E-5
2025-12-04T00:00:00.000Z,0,
2025-12-05T00:00:00.000Z,0,4.4745855120709166E-5
2025-12-02T00:00:00.000Z,0,6.643715460086241E-5
2025-12-06T00:00:00.000Z,0,
2025-12-09T00:00:00.000Z,0,
2025-12-08T00:00:00.000Z,0,
2025-12-03T00:00:00.000Z,0,4.4986119064560626E-5
2025-12-07T00:00:00.000Z,0,2.1308794885044335E-5
2025-09-08T00:00:00.000Z,0,2.131550536432769E-5
2025-09-10T00:00:00.000Z,0,4.824809184356127E-5
2025-09-12T00:00:00.000Z,0,2.7438352390163345E-5
2025-09-11T00:00:00.000Z,0,1.2638631233130582E-5
2025-09-06T00:00:00.000Z,0,2.0953222701791674E-5
2025-09-07T00:00:00.000Z,0,3.807542088907212E-5
2025-09-09T00:00:00.000Z,0,3.2502605790796224E-5
2025-09-05T00:00:00.000Z,0,2.7744752060243627E-5
2026-07-09T00:00:00.000Z,0,4.515881300903857E-5
